CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,41,88,12
2,Female,25,18,76
3,Male,22,29,77
4,Male,63,21,28
5,Male,52,24,18
6,Male,46,85,14
7,Male,27,78,82
8,Female,47,44,43
9,Female,44,41,48
10,Female,25,78,72
11,Female,33,79,79
12,Male,46,53,53
13,Male,49,57,54
14,Male,32,67,60
15,Female,32,57,43
16,Male,46,50,60
17,Female,32,64,72
18,Female,53,32,32
19,Female,36,80,26
20,Male,29,86,82
21,Female,60,37,1
22,Male,23,24,70
23,Male,49,17,31
24,Female,44,61,22
25,Female,31,87,76
26,Male,28,78,79
27,Female,50,78,2
28,Male,25,75,92
29,Male,64,38,9
30,Female,63,23,6
31,Male,26,17,68
32,Female,21,28,91
33,Female,32,86,82
34,Female,26,61,75
35,Female,54,26,25
36,Female,46,71,7
37,Female,48,24,9
38,Female,62,31,18
39,Male,40,44,37
40,Female,37,68,55
41,Male,25,75,73
42,Male,40,58,54
43,Female,27,27,90
44,Male,28,33,85
45,Male,54,33,37
46,Male,49,44,38
47,Male,25,36,64
48,Female,24,39,73
49,Male,58,34,24
50,Female,48,80,4
51,Male,39,81,31
52,Male,35,57,65
53,Female,29,35,73
54,Male,45,15,27
55,Female,48,89,20
56,Male,27,75,89
57,Male,64,30,26
58,Female,35,67,25
59,Male,42,55,57
60,Male,37,77,28
61,Female,37,43,48
62,Female,41,84,12
63,Male,22,37,81
64,Female,27,35,66
65,Male,21,19,90
66,Female,41,63,10
67,Female,33,86,89
68,Female,31,50,56
69,Female,35,62,22
70,Female,47,31,14
71,Male,26,61,84
72,Male,49,26,1
73,Female,30,45,46
74,Male,33,66,81
75,Male,50,85,37
76,Female,35,75,31
77,Female,27,23,76
78,Male,47,23,26
79,Female,36,61,33
80,Female,35,74,13
81,Female,28,38,85
82,Female,25,73,87
83,Female,39,86,88
84,Male,41,44,63
85,Male,44,58,36
86,Female,51,76,19
87,Female,32,52,56
88,Male,28,18,89
89,Female,31,45,50
90,Male,27,79,61
91,Female,18,39,76
92,Male,63,31,11
93,Female,53,84,36
94,Female,29,27,94
95,Male,26,28,88
96,Male,33,49,57
97,Female,57,32,37
98,Male,23,26,86
99,Male,29,16,77
100,Female,49,37,31
101,Female,25,26,68
102,Female,26,29,85
103,Male,53,33,16
104,Male,64,35,4
105,Male,39,85,30
106,Female,60,35,3
107,Female,22,23,69
108,Female,25,67,59
109,Male,50,84,16
110,Male,60,39,15
111,Female,43,54,36
112,Female,24,34,86
113,Female,45,50,54
114,Female,49,19,4
115,Male,28,83,80
116,Female,49,27,15
117,Male,26,82,90
118,Male,32,86,73
119,Female,42,52,50
120,Female,24,38,68
121,Female,38,70,83
122,Male,53,76,34
123,Female,61,21,33
124,Male,48,20,38
125,Male,20,15,75
126,Male,18,26,76
127,Female,30,56,54
128,Female,54,21,24
129,Male,53,81,14
130,Female,29,26,76
131,Female,45,47,48
132,Female,32,68,71
133,Female,35,68,12
134,Female,60,27,2
135,Female,37,68,60
136,Male,49,26,19
137,Female,25,17,87
138,Male,40,72,29
139,Female,26,80,72
140,Female,62,27,19
141,Male,34,45,38
142,Male,31,48,48
143,Female,37,46,38
144,Male,31,61,54
145,Male,48,89,7
146,Female,24,31,93
147,Female,28,24,91
148,Female,43,71,17
149,Female,37,67,17
150,Male,49,60,12
151,Male,30,40,64
152,Male,34,44,50
153,Male,54,88,32
154,Female,20,26,87
155,Female,29,21,85
156,Male,37,62,82
157,Female,46,48,36
158,Female,52,24,35
159,Female,19,26,72
160,Female,28,65,62
161,Female,47,52,42
162,Male,48,39,29
163,Female,32,55,53
164,Female,48,52,47
165,Male,25,70,87
166,Male,30,82,61
167,Female,47,77,33
168,Male,25,83,78
169,Female,31,52,52
170,Female,33,87,83
171,Female,25,85,82
172,Male,48,80,10
173,Male,26,27,82
174,Male,30,70,82
175,Male,49,47,46
176,Female,35,40,57
177,Male,57,26,11
178,Female,28,33,94
179,Female,56,36,13
180,Male,39,58,52
181,Male,22,21,86
182,Female,29,60,54
183,Male,55,32,22
184,Male,63,32,5
185,Female,51,28,16
186,Female,45,87,1
187,Female,46,78,33
188,Male,48,87,15
189,Male,43,64,32
190,Female,33,88,84
191,Male,49,18,1
192,Male,37,43,49
193,Female,19,29,89
194,Female,44,54,40
195,Female,32,79,62
196,Female,37,82,7
197,Female,20,28,81
198,Male,49,81,20
199,Male,45,45,52
200,Male,51,79,11
