CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Female,41,88,12,0
2,Female,25,18,76,4
3,Male,22,29,77,4
4,Male,63,21,28,2
5,Male,52,24,18,2
6,Male,46,85,14,0
7,Male,27,78,82,3
8,Female,47,44,43,1
9,Female,44,41,48,1
10,Female,25,78,72,3
11,Female,33,79,79,3
12,Male,46,53,53,1
13,Male,49,57,54,1
14,Male,32,67,60,3
15,Female,32,57,43,1
16,Male,46,50,60,1
17,Female,32,64,72,3
18,Female,53,32,32,2
19,Female,36,80,26,0
20,Male,29,86,82,3
21,Female,60,37,1,2
22,Male,23,24,70,4
23,Male,49,17,31,2
24,Female,44,61,22,0
25,Female,31,87,76,3
26,Male,28,78,79,3
27,Female,50,78,2,0
28,Male,25,75,92,3
29,Male,64,38,9,2
30,Female,63,23,6,2
31,Male,26,17,68,4
32,Female,21,28,91,4
33,Female,32,86,82,3
34,Female,26,61,75,3
35,Female,54,26,25,2
36,Female,46,71,7,0
37,Female,48,24,9,2
38,Female,62,31,18,2
39,Male,40,44,37,1
40,Female,37,68,55,1
41,Male,25,75,73,3
42,Male,40,58,54,1
43,Female,27,27,90,4
44,Male,28,33,85,4
45,Male,54,33,37,2
46,Male,49,44,38,1
47,Male,25,36,64,4
48,Female,24,39,73,4
49,Male,58,34,24,2
50,Female,48,80,4,0
51,Male,39,81,31,0
52,Male,35,57,65,1
53,Female,29,35,73,4
54,Male,45,15,27,2
55,Female,48,89,20,0
56,Male,27,75,89,3
57,Male,64,30,26,2
58,Female,35,67,25,0
59,Male,42,55,57,1
60,Male,37,77,28,0
61,Female,37,43,48,1
62,Female,41,84,12,0
63,Male,22,37,81,4
64,Female,27,35,66,4
65,Male,21,19,90,4
66,Female,41,63,10,0
67,Female,33,86,89,3
68,Female,31,50,56,1
69,Female,35,62,22,0
70,Female,47,31,14,2
71,Male,26,61,84,3
72,Male,49,26,1,2
73,Female,30,45,46,1
74,Male,33,66,81,3
75,Male,50,85,37,0
76,Female,35,75,31,0
77,Female,27,23,76,4
78,Male,47,23,26,2
79,Female,36,61,33,1
80,Female,35,74,13,0
81,Female,28,38,85,4
82,Female,25,73,87,3
83,Female,39,86,88,3
84,Male,41,44,63,1
85,Male,44,58,36,1
86,Female,51,76,19,0
87,Female,32,52,56,1
88,Male,28,18,89,4
89,Female,31,45,50,1
90,Male,27,79,61,3
91,Female,18,39,76,4
92,Male,63,31,11,2
93,Female,53,84,36,0
94,Female,29,27,94,4
95,Male,26,28,88,4
96,Male,33,49,57,1
97,Female,57,32,37,2
98,Male,23,26,86,4
99,Male,29,16,77,4
100,Female,49,37,31,2
101,Female,25,26,68,4
102,Female,26,29,85,4
103,Male,53,33,16,2
104,Male,64,35,4,2
105,Male,39,85,30,0
106,Female,60,35,3,2
107,Female,22,23,69,4
108,Female,25,67,59,3
109,Male,50,84,16,0
110,Male,60,39,15,2
111,Female,43,54,36,1
112,Female,24,34,86,4
113,Female,45,50,54,1
114,Female,49,19,4,2
115,Male,28,83,80,3
116,Female,49,27,15,2
117,Male,26,82,90,3
118,Male,32,86,73,3
119,Female,42,52,50,1
120,Female,24,38,68,4
121,Female,38,70,83,3
122,Male,53,76,34,0
123,Female,61,21,33,2
124,Male,48,20,38,2
125,Male,20,15,75,4
126,Male,18,26,76,4
127,Female,30,56,54,1
128,Female,54,21,24,2
129,Male,53,81,14,0
130,Female,29,26,76,4
131,Female,45,47,48,1
132,Female,32,68,71,3
133,Female,35,68,12,0
134,Female,60,27,2,2
135,Female,37,68,60,1
136,Male,49,26,19,2
137,Female,25,17,87,4
138,Male,40,72,29,0
139,Female,26,80,72,3
140,Female,62,27,19,2
141,Male,34,45,38,1
142,Male,31,48,48,1
143,Female,37,46,38,1
144,Male,31,61,54,1
145,Male,48,89,7,0
146,Female,24,31,93,4
147,Female,28,24,91,4
148,Female,43,71,17,0
149,Female,37,67,17,0
150,Male,49,60,12,0
151,Male,30,40,64,4
152,Male,34,44,50,1
153,Male,54,88,32,0
154,Female,20,26,87,4
155,Female,29,21,85,4
156,Male,37,62,82,3
157,Female,46,48,36,1
158,Female,52,24,35,2
159,Female,19,26,72,4
160,Female,28,65,62,3
161,Female,47,52,42,1
162,Male,48,39,29,2
163,Female,32,55,53,1
164,Female,48,52,47,1
165,Male,25,70,87,3
166,Male,30,82,61,3
167,Female,47,77,33,0
168,Male,25,83,78,3
169,Female,31,52,52,1
170,Female,33,87,83,3
171,Female,25,85,82,3
172,Male,48,80,10,0
173,Male,26,27,82,4
174,Male,30,70,82,3
175,Male,49,47,46,1
176,Female,35,40,57,1
177,Male,57,26,11,2
178,Female,28,33,94,4
179,Female,56,36,13,2
180,Male,39,58,52,1
181,Male,22,21,86,4
182,Female,29,60,54,1
183,Male,55,32,22,2
184,Male,63,32,5,2
185,Female,51,28,16,2
186,Female,45,87,1,0
187,Female,46,78,33,0
188,Male,48,87,15,0
189,Male,43,64,32,0
190,Female,33,88,84,3
191,Male,49,18,1,2
192,Male,37,43,49,1
193,Female,19,29,89,4
194,Female,44,54,40,1
195,Female,32,79,62,3
196,Female,37,82,7,0
197,Female,20,28,81,4
198,Male,49,81,20,0
199,Male,45,45,52,1
200,Male,51,79,11,0
